Device Type,Data Rate Requirement (Mbps),Latency Requirement (ms),Device Mobility,Slice Type,Slice Bandwidth (Mbps),Slice Latency (ms),Slice Throughput (Mbps),Network Load (%),Traffic Type,Traffic Volume (bytes/sec),Peak Traffic Volume (bytes/sec),Jitter (ms),Packet Loss (%),Throughput (Mbps),Network Availability (%),Optimal Network Slice
Meter,19.98495825373338,27.485160967807406,Static,URLLC,129.69067357766966,3.9693916528873747,29.588934461488748,73.35401623309792,Video,81834.6288014744,175468.683776851,1.203480182493632,0.17338760175966916,32.51678623533326,99.87864051498742,mMTC
Drone,23.93506513906356,38.60360476306674,Static,URLLC,27.002624197357548,8.350645771766722,17.3717842724745,66.62565128052324,Sensor Data,14612.449262167136,181462.33629155662,1.101246134171407,0.3069428792542206,87.86299730692956,99.81050565818516,mMTC
Camera,42.80009596350793,30.32000512953499,Static,mMTC,130.20686135781222,9.949391348544616,136.17782009994295,86.88902253449825,Sensor Data,94651.73315099598,75860.95265456145,0.766970204246336,0.9217432617247142,98.07715419848023,99.91962239059396,mMTC
Meter,17.33021710996466,8.748616240030838,Mobile,URLLC,36.14034921754093,8.566853840443411,58.1811715876357,56.12514332208142,Sensor Data,84338.08911312943,46556.65525352047,1.0371040500026094,1.897819189460782,83.54021160632452,99.8400981935141,URLLC
Meter,43.54765939820248,13.351110655259992,Mobile,mMTC,147.8619629333745,4.11528633790863,159.81691131138916,87.5125564976367,Sensor Data,91893.44449351024,38574.71185622837,0.7936836073534996,0.24227573333216243,84.87562410141048,99.86450277993006,mMTC
Drone,4.862654333346229,14.86976828139136,Mobile,URLLC,90.2139763845675,7.401271540715761,103.4153618139287,58.0583512656497,Sensor Data,28635.876250480105,176426.03321017956,1.3500695374084897,1.4705019308990135,36.92182027268843,99.83411924214761,mMTC
Camera,38.95152264182722,16.603891414018022,Static,URLLC,170.78536848233335,5.80531102291966,93.95595641264849,65.29909957044518,Video,33623.43692073079,46475.13774734263,1.686556336254781,1.0639357039038497,95.80756655040265,99.9411664806387,mMTC
Camera,42.45360783620945,30.44315263777269,Static,URLLC,189.6552641477235,8.078660054950678,142.51509745667988,66.66658936856835,Video,47045.55091096648,106308.55764646278,1.5950994299997727,0.624104842290252,146.86548177110686,99.90505377889224,URLLC
Meter,9.499973815448268,27.678460092142707,Mobile,mMTC,95.07986146380962,2.3778765518161755,137.28084058605322,99.52060877301997,Sensor Data,22497.64659106712,66548.33483080239,0.7473156044067867,0.7021449176833008,146.7356265967118,99.8376952145597,mMTC
Sensor,21.80215335242392,14.142201726389402,Mobile,mMTC,102.89995318527431,6.743211333813135,131.20562784434628,79.49109923682587,Sensor Data,46595.716642997206,99937.40703047055,1.0678970383131985,0.1434357122814919,62.13446089829608,99.83747634949786,URLLC
Meter,8.692238845850953,8.039967955505919,Mobile,URLLC,126.22656458231305,7.963000960075611,128.83365774008902,88.87770961611282,Sensor Data,1019.2483890352004,69349.67356932827,0.12024696876707126,1.4307863470390343,113.34074630152669,99.8431804777498,URLLC
Meter,35.47690438521378,12.714449201362314,Static,URLLC,55.483889934449095,7.851082018659761,100.04033953440043,77.76889919147396,Video,87765.90344336788,58801.85859845269,1.7535284645262745,0.29078595785336486,74.61220163926978,99.9821430151404,URLLC
Meter,26.99971451905201,49.29715906783715,Mobile,URLLC,186.91991134910504,9.672337050434034,167.8684634359561,99.15789845042318,Sensor Data,16313.174611186618,85636.40335545136,0.5662520691186902,0.16592263953848146,33.59761116665692,99.89013649565035,mMTC
Meter,31.94850566206189,26.08461274061625,Static,URLLC,97.93998677024707,1.5257024270588806,161.9558326050157,58.869067562309084,Video,50134.69810795431,66785.2296828555,0.9380738388713223,0.9897949107002477,114.95122514325287,99.97658152243372,mMTC
Drone,10.226104864332452,44.03054771159506,Static,URLLC,50.027660464881315,4.112014321830615,69.35181534097701,80.24370646656577,Video,92889.76662355225,167986.35352386668,0.38984584553600155,1.0069499884559265,61.445679774570586,99.98837739665518,mMTC
Camera,10.981420171594767,43.19386100009795,Mobile,URLLC,157.2917300153991,5.2889822361229495,147.77459897799582,89.86910336213629,Sensor Data,82116.15600689949,116257.12508654667,1.3884062876033492,1.3439849213827488,117.72535268188065,99.89688874408209,mMTC
Drone,2.5541176127403653,28.018380085829317,Static,URLLC,59.447247039917336,3.787871755528731,162.03290479556827,81.4278071356768,Sensor Data,77634.8453474272,35480.55539962686,1.1360655477117751,1.4422316747233168,66.2158535408778,99.81618258089537,URLLC
Drone,16.44234299218862,36.80094688072445,Static,mMTC,45.83526951293389,3.788105623052238,117.01207023573849,94.84680922156431,Sensor Data,60584.019366894136,47418.356219376525,0.7931005363759982,1.0666981045466657,38.626969015804264,99.95412077227157,mMTC
Drone,28.20736073601691,13.673840468572052,Static,mMTC,121.31697358892127,2.585157460209337,106.67056679683904,80.03539906935995,Sensor Data,43683.721239843835,10994.633481853101,1.1168679240741508,1.4452666414179738,130.1577399930984,99.91598864366352,mMTC
Meter,42.96777824286777,35.97785172171088,Static,URLLC,140.86914595248635,8.316562627226869,125.86131335311532,91.32192744883045,Sensor Data,44659.13336675951,60147.82010340318,0.42059951630151693,0.5754477553136204,22.001529739379656,99.81397429831337,mMTC
Sensor,33.5129086492047,17.257306066848027,Mobile,URLLC,122.52129331968493,9.172621399460882,41.90500848398668,58.78985621849769,Sensor Data,8787.863740156878,134002.77612746548,1.5737130210780228,0.3730334623528233,64.3521916536807,99.89297737473636,mMTC
Camera,22.052118008287696,42.44279435393678,Static,URLLC,138.17191681052537,1.7409462361457546,29.41170657455609,63.10319471751636,Video,6572.1169334673705,36836.78647074015,0.6053223801477877,1.8697934066912247,105.7927322550844,99.9258658499682,URLLC
Sensor,47.67944566250982,8.767585989900946,Mobile,URLLC,40.794322215394004,2.3940902058246873,150.32479536957396,72.2034288694797,Video,84359.50804383944,20110.71066802794,1.2685466827939933,0.8091979357787215,134.65907568162953,99.88423560644861,URLLC
Drone,36.10263742850368,39.79124027983749,Static,URLLC,105.68324681913933,3.0560769988466787,109.59882747239574,92.58088559173538,Sensor Data,40924.343551376056,64406.77259577243,1.8088600715506273,0.2711137488324884,36.74928123882908,99.90959211171182,mMTC
Drone,46.543177541696224,9.49716079558788,Mobile,URLLC,84.26335593593743,5.580887354687523,35.21274590531891,71.32796960343204,Video,5496.203033105797,122620.69002805046,0.17331265604706061,1.6715151299184214,27.96740688470042,99.97765916565044,mMTC
Sensor,26.6156046769722,44.653515660243905,Static,mMTC,195.20635092322192,8.120548299708704,83.69247447890345,81.37294688670909,Video,66339.12199234543,94714.1751410796,0.8363144916102043,1.2648848152943966,55.78859643415698,99.82673151556995,mMTC
Sensor,13.31576160226041,18.689203316075165,Mobile,mMTC,28.932308152304138,1.6430997228845519,64.208671289289,69.79058009601471,Sensor Data,68361.90980811538,66638.39521585821,0.35634374339320696,1.224703902097932,49.5856779012475,99.89202877254743,URLLC
Sensor,3.1149209750537383,34.44770141737587,Static,mMTC,73.69295655078615,6.731316870925857,159.4538624472379,90.28601945585487,Sensor Data,22821.291777087885,176625.4660593813,1.8264496496749507,0.3519642987173941,108.72283757409001,99.80159581414736,URLLC
Drone,36.4412001484506,26.937602537912593,Mobile,URLLC,189.53519493650995,2.344019106433778,98.69132988909044,60.01437931240066,Sensor Data,41130.88701992793,93870.97219320026,0.784147144550806,1.539017959477976,47.08493806694801,99.88300005904482,URLLC
Drone,6.504498401273939,21.483641536805255,Mobile,mMTC,197.02931297317932,9.743113610886388,110.2895701070351,79.68847390199778,Video,57385.06444688331,91172.82009839117,0.5053477606624568,0.48688049602856076,99.23666317392028,99.83933404689654,URLLC
Camera,15.487368849462376,34.04488249325734,Mobile,URLLC,168.48228939088403,9.088960877665675,53.822916813175965,78.89450941691334,Video,59668.54836968321,6621.854521761302,1.3853054938041722,0.1799681399820232,103.5608831683748,99.84314759091207,URLLC
Camera,26.85730994025292,47.63853412480571,Static,mMTC,33.67968392295367,9.546245640511767,146.84548535257127,70.16209125879936,Video,51160.43771082095,127976.76346638026,1.1320662961087182,0.4060111701299629,123.75387817332397,99.84390165009388,mMTC
Drone,28.43862109509751,6.857138631857984,Static,URLLC,121.04390510183727,1.9554748982443726,168.4667124534433,85.256402830389,Sensor Data,36483.22646116965,92031.17343489671,1.6521796953083396,1.4310861102015384,96.4621320113626,99.94428267700259,mMTC
Sensor,30.228868250863233,46.34837851473969,Mobile,mMTC,92.02213868068408,5.3923274456877275,145.76156753524793,51.423830401227484,Sensor Data,6975.124058993873,29271.90461943642,1.5308295015734064,1.6032224042297816,139.33272451469654,99.89652868492556,mMTC
Sensor,8.729638852310181,32.40867447594561,Static,URLLC,165.1614621851723,2.487219102985377,96.32175862763472,92.07499942782661,Sensor Data,2326.133162067835,48974.71464659518,1.951872720610385,0.5685303176713107,108.43304599337887,99.87227905082398,URLLC
Camera,19.297001538671612,41.329143534607354,Mobile,mMTC,29.904362402839993,6.403199957048496,152.78967374103746,67.39826147861277,Sensor Data,46007.5203340449,40712.037237332115,0.2720113836785186,0.6985746015326373,47.72982082881327,99.80014730195495,mMTC
Drone,31.051114242289852,22.274372904542492,Mobile,mMTC,55.48317529604638,3.094652013956777,46.01321374179757,89.65112847874266,Sensor Data,20373.972429483973,24683.014718858765,0.25251825987737575,0.409198371688821,141.881940405085,99.95878174117995,URLLC
Camera,48.50603379937235,26.23293386769262,Static,mMTC,108.0551119200733,7.935678850320737,33.71325390642324,65.2529745792676,Video,93855.0356489525,87277.61098965778,1.8239853271741637,0.9602331654711854,40.64732928542966,99.8000186812837,URLLC
Camera,36.51774131613459,44.09828383105238,Static,URLLC,48.37657933060885,6.796023405847009,87.30615484779062,59.39532335480811,Video,64077.660071351034,72848.42486806908,1.9158912254726232,0.518108625876738,40.109443465281046,99.9534903400674,mMTC
Meter,46.16888597615091,23.668158641442037,Static,URLLC,144.6887256849737,6.144441348585419,44.95318706797017,69.47447365424362,Video,58592.260959949694,72216.57210164926,0.8726052572767504,1.9698015578315753,115.20866886731513,99.93819633095487,URLLC
Meter,38.229496886551765,29.059680503708826,Static,URLLC,167.7380998051637,8.427044421687969,57.761491758862874,89.86834764951877,Video,40714.53005092384,50530.175145266185,0.9661526763788187,1.5572252944064562,85.06584015536642,99.82299472711614,URLLC
Meter,29.789989960173823,5.908771538794981,Static,URLLC,146.8135808529758,5.50245727751454,111.5442651824088,85.17590176427362,Video,33019.57340837642,87454.37874401205,0.8005267432838936,1.2345166977253896,36.60410124471679,99.91787356006307,mMTC
Sensor,10.005156772249055,12.136910262711904,Static,URLLC,99.25106845519682,3.428665663111161,81.64401377431747,70.0515600932986,Video,18062.815792460027,109640.3439382895,1.5776050626519476,1.4705213961104218,30.380902985191582,99.80212082369245,URLLC
Drone,33.500939768679395,33.87589285886599,Mobile,mMTC,178.10977992547632,6.586349471200793,157.86991613572272,96.89343622054753,Sensor Data,6108.294182221782,122416.90381245034,1.5644945756759894,0.4171280793125457,37.8684720353127,99.8424837479491,mMTC
Drone,31.3572885150154,37.26396054787447,Mobile,URLLC,44.78350370958951,9.613563689780255,52.22603700339608,70.43880929254372,Sensor Data,63486.31445637053,44199.18645362814,0.5187973568649217,1.5128445502121481,140.07299129402068,99.84579067611887,URLLC
Drone,30.32222393763469,31.217042155302472,Mobile,URLLC,66.8609451018216,6.410434270097851,179.47046532939873,67.53763641466709,Video,77942.12506734149,145650.32609437162,0.8293988467402413,0.7580360451182793,94.17482827743757,99.98636404598592,mMTC
Drone,24.744400465417918,11.44895163240248,Static,URLLC,108.11714334541459,6.666575041354876,74.29991362785502,57.235945547706024,Video,85790.49037613768,5697.705524526947,0.5036296863697468,0.9921445591126977,113.43668920249489,99.90845406105285,URLLC
Meter,26.66850189746914,25.04324428600257,Mobile,mMTC,31.040947798265357,9.412756131336979,100.04147035877453,53.51393228726144,Video,72458.35236205645,150162.91458988184,0.18858587551338452,1.7820341409879261,32.28248989185329,99.80170814808211,URLLC
Sensor,17.05490509234615,20.979264486343542,Static,mMTC,37.22344068197851,5.637475902769705,36.8347981184381,67.49512019257416,Sensor Data,89705.39310163005,56808.62987950899,0.20663078172146476,1.8939999666963852,66.20544478597463,99.82447992913,mMTC
Sensor,26.205978285794007,27.304760481578974,Static,mMTC,91.53980691002698,9.967217155433133,110.58433710311309,54.60010931003135,Video,98282.3704954946,74189.17221301122,0.37896393620883007,1.56026943390919,90.18798268936877,99.8364550132421,mMTC
Meter,10.279017331084674,44.164806554934245,Static,URLLC,189.89953341221974,2.436958391797679,173.61200758175778,73.13174789443768,Video,96170.62999459755,116268.05265636853,0.15677586683719702,1.5584166286918912,83.81649006996685,99.95616022443377,mMTC
Sensor,40.35613266933865,39.91376473963933,Mobile,URLLC,183.51446478986006,5.833358587110882,138.65063334970688,93.00047718575149,Sensor Data,59263.80531590998,122207.14332403489,0.9040328919249784,1.514613215734095,65.29850535330367,99.92895342875116,URLLC
Meter,9.695959257586036,8.779527562512152,Mobile,mMTC,103.875474490114,2.916107569129433,55.269002424670525,73.80583263473636,Sensor Data,22497.580324844483,84404.58509664336,0.22163706970419852,1.2901460770058504,27.928838578347168,99.89179211225556,mMTC
Drone,4.705831349528587,45.06391389985539,Static,URLLC,45.58853801193141,5.079937315066234,88.03093228762036,74.02904891357929,Video,10724.9077041854,187598.41979244532,1.7100816440874613,0.4715416590245851,107.18831669592507,99.95405442135176,mMTC
Meter,22.09417830467929,26.229521801742063,Mobile,URLLC,52.059378072518406,2.535165185515913,85.19649681479284,62.67203104832825,Video,99393.10731083124,171707.58708157396,1.45295575705395,1.2180094016997127,95.72046132045803,99.89005941017359,mMTC
Drone,33.086218255550065,38.47379651986993,Static,URLLC,87.95828982964291,3.0027589437322546,31.16138165276415,58.314778797419834,Sensor Data,30908.184120412265,45239.80079071959,1.588921402048248,0.20752733005234397,71.76621946193245,99.95502800254715,mMTC
Drone,22.166982834210298,11.301765406895846,Static,URLLC,57.813355115620645,2.8972004466903716,161.16527981181488,61.116442925533796,Sensor Data,3493.708819566181,117905.36573527151,1.273212224559991,0.15834302491786004,140.147292972661,99.84164855898072,URLLC
Camera,14.199329531589775,35.182378656817164,Mobile,URLLC,34.93560699026801,3.8802820512160716,77.94024824587828,78.39942397755797,Video,39165.50503113396,144280.70597908544,1.3613669304978506,1.6921917146976242,117.0657109946872,99.97655268603278,mMTC
Meter,28.129473602576816,15.634670792425606,Static,mMTC,141.27994703359948,2.2114453106695278,96.55283583217562,79.58965571971964,Video,74835.16355154198,43623.63342058018,0.3154790641786551,1.1270136163130111,64.25165063610436,99.98187692250198,URLLC
Camera,17.676615602903897,24.727140371341918,Static,mMTC,124.66075480268508,8.284079574775145,63.05588285463382,61.00938963378092,Video,89090.91865067287,3984.5498414879976,0.21051853221355188,0.13113674645444612,22.12721592577971,99.92119479570475,mMTC
Meter,46.676950661268336,5.758829153694698,Static,mMTC,72.43341643605531,2.9860803756299217,40.14527841997669,69.94601871158412,Video,47808.62827950079,195128.22673095742,1.9795068131745421,0.6181658087195205,123.05264235603788,99.92043968137148,URLLC
